theta,omega,alpha,theta_next,omega_next,trajectory_id,split
-0.08596659916231607,2.5224940634197908,0.9084333085702732,-0.06070067589416525,2.53024631430989,0,train
-0.06070067589416525,2.53024631430989,0.6418446045034548,-0.03537057957583654,2.535326860004063,0,train
-0.03537057957583654,2.535326860004063,0.3741676234966565,-0.010003074148829925,2.537727076520736,0,train
-0.010003074148829925,2.537727076520736,0.10585477484813068,0.015375012892083508,2.5374428827898154,0,train
0.015375012892083508,2.5374428827898154,-0.16263816947008117,0.04073683605604228,2.534474762252375,0,train
0.04073683605604228,2.534474762252375,-0.43085448333729837,0.06605557750855831,2.528827760300029,0,train
0.06605557750855831,2.528827760300029,-0.6983389055525673,0.09130449257757953,2.520511457582291,0,train
0.09130449257757953,2.520511457582291,-0.9646400427239153,0.1164569548730833,2.509539919476445,0,train
0.1164569548730833,2.509539919476445,-1.2293127295246997,0.14148650078439104,2.495931622275833,0,train
0.14148650078439104,2.495931622275833,-1.4919203205688714,0.1663668731262232,2.47970935690466,0,train
0.1663668731262232,2.47970935690466,-1.7520368892826372,0.1910720637138028,2.460900111206341,0,train
0.1910720637138028,2.460900111206341,-2.0092493106685727,0.21557635465891076,2.4395349320743724,0,train
0.21557635465891076,2.4395349320743724,-2.2631592067335022,0.23985435819251238,2.415648768896275,0,train
0.23985435819251238,2.415648768896275,-2.5133847355394954,0.26388105483519214,2.3892802999595095,0,train
0.26388105483519214,2.3892802999595095,-2.7595622072873116,0.28763182975390855,2.3604717436210216,0,train
0.28763182975390855,2.3604717436210216,-3.0013475134984633,0.311082507162248,2.329268656167484,0,train
0.311082507162248,2.329268656167484,-3.2384173581668207,0.3342093826411358,2.2957197183901585,0,train
0.3342093826411358,2.2957197183901585,-3.470470282643844,0.35698925327756437,2.2598765129660587,0,train
0.35698925327756437,2.2598765129660587,-3.6972274789429753,0.379399445540033,2.2217932947756975,0,train
0.379399445540033,2.2217932947756975,-3.918433389041372,0.40141784083077037,2.181526756297798,0,train
0.40141784083077037,2.181526756297798,-4.133856090566415,0.4230228986761493,2.1391357902039396,0,train
0.4230228986761493,2.1391357902039396,-4.343287471931315,0.44419367753773825,2.0946812512327933,0,train
0.44419367753773825,2.0946812512327933,-4.546543202484952,0.46490985324691264,2.048225719356318,0,train
0.46490985324691264,2.048225719356318,-4.743462505529215,0.4851517350856444,1.9998332661613107,0,train
0.4851517350856444,1.9998332661613107,-4.933907744102934,0.504900279554798,1.9495692262615658,0,train
0.504900279554798,1.9495692262615658,-5.117763831213124,0.5241371018888014,1.89749997543135,0,train
0.5241371018888014,1.89749997543135,-5.294937477697153,0.5428444853917881,1.8436927170127282,0,train
0.5428444853917881,1.8436927170127282,-5.465356292116808,0.5610053886850952,1.788215278000375,0,train
0.5610053886850952,1.788215278000375,-5.62896774801666,0.5786034509692584,1.7311359160506963,0,train
0.5786034509692584,1.7311359160506963,-5.785738034531209,0.595622995415309,1.6725231385000967,0,train
0.595622995415309,1.6725231385000967,-5.935650806709895,0.6120490308102025,1.612445534312679,0,train
0.6120490308102025,1.612445534312679,-6.078705852063002,0.6278672515895868,1.5509716197129213,0,train
0.6278672515895868,1.5509716197129213,-6.214917689735383,0.6430640363978607,1.4881696980961734,0,train
0.6430640363978607,1.4881696980961734,-6.344314118412891,0.6576264453205981,1.4241077346510296,0,train
0.6576264453205981,1.4241077346510296,-6.466934728583942,0.6715422159379886,1.3588532459744842,0,train
0.6715422159379886,1.3588532459744842,-6.582829394143455,0.6847997583500127,1.292473204814615,0,train
0.6847997583500127,1.292473204814615,-6.692056757565484,0.6973881493247243,1.2250339599375022,0,train
0.6973881493247243,1.2250339599375022,-6.7946827220122845,0.7092971257203209,1.1566011709860229,0,train
0.7092971257203209,1.1566011709860229,-6.8907789628171585,0.7205170773297609,1.0872397580786444,0,train
0.7205170773297609,1.0872397580786444,-6.9804214698015326,0.7310390392936037,1.0170138657867314,0,train
0.7310390392936037,1.0170138657867314,-7.063689130886098,0.7408546842226336,0.9459868410293091,0,train
0.7408546842226336,0.9459868410293091,-7.140662366452589,0.7499563141667587,0.8742212243346218,0,train
0.7499563141667587,0.8742212243346218,-7.211421822924511,0.7583368525607628,0.8017787538379613,0,train
0.7583368525607628,0.8017787538379613,-7.276047133078346,0.7659898362708223,0.7287203813147354,0,train
0.7659898362708223,0.7287203813147354,-7.334615749683132,0.7729094078583759,0.6551062994861144,0,train
0.7729094078583759,0.6551062994861144,-7.38720185820691,0.7790903081700334,0.5809959797812554,0,train
0.7790903081700334,0.5809959797812554,-7.433875373529963,0.7845278693538164,0.5064482196944254,0,train
0.7845278693538164,0.5064482196944254,-7.474701024872136,0.7892180083932068,0.43152119883665296,0,train
0.7892180083932068,0.43152119883665296,-7.509737532476998,0.7931572212413109,0.3562725427491449,0,train
0.7931572212413109,0.3562725427491449,-7.539036878999164,0.7963425776279774,0.2807593935189516,0,train
